#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
dha_ya	<center><big><big><big><big><big>ध्य</big></big></big></big></big></center>	<center><big><big><b>dhya</b></big></big><br><big>ध् (dh) + य (ya)</big><br><small>frequency: 2.68%</small></center>
pa_ta	<center><big><big><big><big><big>प्त</big></big></big></big></big></center>	<center><big><big><b>pta</b></big></big><br><big>प् (p) + त (ta)</big><br><small>frequency: 2.664%</small></center>
na_va	<center><big><big><big><big><big>न्व</big></big></big></big></big></center>	<center><big><big><b>nva</b></big></big><br><big>न् (n) + व (va)</big><br><small>frequency: 2.65%</small></center>
na_da	<center><big><big><big><big><big>न्द</big></big></big></big></big></center>	<center><big><big><b>nda</b></big></big><br><big>न् (n) + द (da)</big><br><small>frequency: 2.632%</small></center>
ga_ra	<center><big><big><big><big><big>ग्र</big></big></big></big></big></center>	<center><big><big><b>gra</b></big></big><br><big>ग् (g) + र (ra)</big><br><small>frequency: 2.453%</small></center>
na_da_ra	<center><big><big><big><big><big>न्द्र</big></big></big></big></big></center>	<center><big><big><b>ndra</b></big></big><br><big>न् (n) + द् (d) + र (ra)</big><br><small>frequency: 2.427%</small></center>
na_dha	<center><big><big><big><big><big>न्ध</big></big></big></big></big></center>	<center><big><big><b>ndha</b></big></big><br><big>न् (n) + ध (dha)</big><br><small>frequency: 2.396%</small></center>
pa_ya	<center><big><big><big><big><big>प्य</big></big></big></big></big></center>	<center><big><big><b>pya</b></big></big><br><big>प् (p) + य (ya)</big><br><small>frequency: 2.285%</small></center>
ra_ja	<center><big><big><big><big><big>र्ज</big></big></big></big></big></center>	<center><big><big><b>rja</b></big></big><br><big>र् (r) + ज (ja)</big><br><small>frequency: 2.24%</small></center>
ma_ya	<center><big><big><big><big><big>म्य</big></big></big></big></big></center>	<center><big><big><b>mya</b></big></big><br><big>म् (m) + य (ya)</big><br><small>frequency: 2.118%</small></center>
ha_ya	<center><big><big><big><big><big>ह्य</big></big></big></big></big></center>	<center><big><big><b>hya</b></big></big><br><big>ह् (h) + य (ya)</big><br><small>frequency: 2.118%</small></center>
GNa_ga	<center><big><big><big><big><big>ङ्ग</big></big></big></big></big></center>	<center><big><big><b>ṅga</b></big></big><br><big>ङ् (ṅ) + ग (ga)</big><br><small>frequency: 2.091%</small></center>
ja_ya	<center><big><big><big><big><big>ज्य</big></big></big></big></big></center>	<center><big><big><b>jya</b></big></big><br><big>ज् (j) + य (ya)</big><br><small>frequency: 1.937%</small></center>
ta_pa	<center><big><big><big><big><big>त्प</big></big></big></big></big></center>	<center><big><big><b>tpa</b></big></big><br><big>त् (t) + प (pa)</big><br><small>frequency: 1.918%</small></center>
ta_ka	<center><big><big><big><big><big>त्क</big></big></big></big></big></center>	<center><big><big><b>tka</b></big></big><br><big>त् (t) + क (ka)</big><br><small>frequency: 1.883%</small></center>
ra_da	<center><big><big><big><big><big>र्द</big></big></big></big></big></center>	<center><big><big><b>rda</b></big></big><br><big>र् (r) + द (da)</big><br><small>frequency: 1.873%</small></center>
Sha_Na	<center><big><big><big><big><big>ष्ण</big></big></big></big></big></center>	<center><big><big><b>ṣṇa</b></big></big><br><big>ष् (ṣ) + ण (ṇa)</big><br><small>frequency: 1.793%</small></center>
JNa_ca	<center><big><big><big><big><big>ञ्च</big></big></big></big></big></center>	<center><big><big><b>ñca</b></big></big><br><big>ञ् (ñ) + च (ca)</big><br><small>frequency: 1.779%</small></center>
na_sa	<center><big><big><big><big><big>न्स</big></big></big></big></big></center>	<center><big><big><b>nsa</b></big></big><br><big>न् (n) + स (sa)</big><br><small>frequency: 1.767%</small></center>
ca_ca	<center><big><big><big><big><big>च्च</big></big></big></big></big></center>	<center><big><big><b>cca</b></big></big><br><big>च् (c) + च (ca)</big><br><small>frequency: 1.716%</small></center>
ra_ga	<center><big><big><big><big><big>र्ग</big></big></big></big></big></center>	<center><big><big><b>rga</b></big></big><br><big>र् (r) + ग (ga)</big><br><small>frequency: 1.698%</small></center>
ra_ha	<center><big><big><big><big><big>र्ह</big></big></big></big></big></center>	<center><big><big><b>rha</b></big></big><br><big>र् (r) + ह (ha)</big><br><small>frequency: 1.688%</small></center>
da_bha	<center><big><big><big><big><big>द्भ</big></big></big></big></big></center>	<center><big><big><b>dbha</b></big></big><br><big>द् (d) + भ (bha)</big><br><small>frequency: 1.687%</small></center>
Na_ya	<center><big><big><big><big><big>ण्य</big></big></big></big></big></center>	<center><big><big><b>ṇya</b></big></big><br><big>ण् (ṇ) + य (ya)</big><br><small>frequency: 1.523%</small></center>
Sha_ma	<center><big><big><big><big><big>ष्म</big></big></big></big></big></center>	<center><big><big><b>ṣma</b></big></big><br><big>ष् (ṣ) + म (ma)</big><br><small>frequency: 1.504%</small></center>
sa_ra	<center><big><big><big><big><big>स्र</big></big></big></big></big></center>	<center><big><big><b>sra</b></big></big><br><big>स् (s) + र (ra)</big><br><small>frequency: 1.481%</small></center>
ka_Sha_ya	<center><big><big><big><big><big>क्ष्य</big></big></big></big></big></center>	<center><big><big><b>kṣya</b></big></big><br><big>क् (k) + ष् (ṣ) + य (ya)</big><br><small>frequency: 1.476%</small></center>
ra_sha	<center><big><big><big><big><big>र्श</big></big></big></big></big></center>	<center><big><big><b>rśa</b></big></big><br><big>र् (r) + श (śa)</big><br><small>frequency: 1.443%</small></center>
ra_dha	<center><big><big><big><big><big>र्ध</big></big></big></big></big></center>	<center><big><big><b>rdha</b></big></big><br><big>र् (r) + ध (dha)</big><br><small>frequency: 1.434%</small></center>
Sha_Ta_va	<center><big><big><big><big><big>ष्ट्व</big></big></big></big></big></center>	<center><big><big><b>ṣṭva</b></big></big><br><big>ष् (ṣ) + ट् (ṭ) + व (va)</big><br><small>frequency: 1.405%</small></center>
ta_ta_va	<center><big><big><big><big><big>त्त्व</big></big></big></big></big></center>	<center><big><big><b>ttva</b></big></big><br><big>त् (t) + त् (t) + व (va)</big><br><small>frequency: 1.339%</small></center>
sa_ta_va	<center><big><big><big><big><big>स्त्व</big></big></big></big></big></center>	<center><big><big><b>stva</b></big></big><br><big>स् (s) + त् (t) + व (va)</big><br><small>frequency: 1.339%</small></center>
ka_ya	<center><big><big><big><big><big>क्य</big></big></big></big></big></center>	<center><big><big><b>kya</b></big></big><br><big>क् (k) + य (ya)</big><br><small>frequency: 1.308%</small></center>
kha_ya	<center><big><big><big><big><big>ख्य</big></big></big></big></big></center>	<center><big><big><b>khya</b></big></big><br><big>ख् (kh) + य (ya)</big><br><small>frequency: 1.307%</small></center>
ga_na	<center><big><big><big><big><big>ग्न</big></big></big></big></big></center>	<center><big><big><b>gna</b></big></big><br><big>ग् (g) + न (na)</big><br><small>frequency: 1.29%</small></center>
ra_bha	<center><big><big><big><big><big>र्भ</big></big></big></big></big></center>	<center><big><big><b>rbha</b></big></big><br><big>र् (r) + भ (bha)</big><br><small>frequency: 1.285%</small></center>
Sha_Ta_ra	<center><big><big><big><big><big>ष्ट्र</big></big></big></big></big></center>	<center><big><big><b>ṣṭra</b></big></big><br><big>ष् (ṣ) + ट् (ṭ) + र (ra)</big><br><small>frequency: 1.252%</small></center>
bha_ra	<center><big><big><big><big><big>भ्र</big></big></big></big></big></center>	<center><big><big><b>bhra</b></big></big><br><big>भ् (bh) + र (ra)</big><br><small>frequency: 1.242%</small></center>
na_pa	<center><big><big><big><big><big>न्प</big></big></big></big></big></center>	<center><big><big><b>npa</b></big></big><br><big>न् (n) + प (pa)</big><br><small>frequency: 1.195%</small></center>
la_ya	<center><big><big><big><big><big>ल्य</big></big></big></big></big></center>	<center><big><big><b>lya</b></big></big><br><big>ल् (l) + य (ya)</big><br><small>frequency: 1.178%</small></center>
va_ra	<center><big><big><big><big><big>व्र</big></big></big></big></big></center>	<center><big><big><b>vra</b></big></big><br><big>व् (v) + र (ra)</big><br><small>frequency: 1.172%</small></center>
Sha_va	<center><big><big><big><big><big>ष्व</big></big></big></big></big></center>	<center><big><big><b>ṣva</b></big></big><br><big>ष् (ṣ) + व (va)</big><br><small>frequency: 1.145%</small></center>
ra_na	<center><big><big><big><big><big>र्न</big></big></big></big></big></center>	<center><big><big><b>rna</b></big></big><br><big>र् (r) + न (na)</big><br><small>frequency: 1.118%</small></center>
ca_ya	<center><big><big><big><big><big>च्य</big></big></big></big></big></center>	<center><big><big><b>cya</b></big></big><br><big>च् (c) + य (ya)</big><br><small>frequency: 1.111%</small></center>
JNa_ja	<center><big><big><big><big><big>ञ्ज</big></big></big></big></big></center>	<center><big><big><b>ñja</b></big></big><br><big>ञ् (ñ) + ज (ja)</big><br><small>frequency: 1.057%</small></center>
sa_pa	<center><big><big><big><big><big>स्प</big></big></big></big></big></center>	<center><big><big><b>spa</b></big></big><br><big>स् (s) + प (pa)</big><br><small>frequency: 1.003%</small></center>
