#separator:Tab
#html:true
#deck:🕉️ Vedanta Glossary
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
vedanta:adhyavasāyaḥ	<center><big>अध्यवसायः</big></center>	<b>adhyavasāyaḥ</b><br><br>Determination; perseverance; effort, exertion; reso lution, resolve.
vedanta:adhyāyaḥ	<center><big>अध्यायः</big></center>	<b>adhyāyaḥ</b><br><br>Chapter; study; student of the Vedas .
vedanta:adhyayanam	<center><big>अध्ययनम्</big></center>	<b>adhyayanam</b><br><br>Study of the Veda ; learning; from to study
vedanta:ādi	<center><big>आदि</big></center>	<b>ādi</b><br><br>First. primary, principal in compound - beginning with. Beginning; cause, at the end of compound – 'beginning with', 'et cetera', 'and so on'.
vedanta:ādimat	<center><big>आदिमत्</big></center>	<b>ādimat</b><br><br>Having a beginning.
vedanta:aditi	<center><big>अदिति</big></center>	<b>aditi</b><br><br>Free; boundless, unlimited; whole.
vedanta:ādityaḥ	<center><big>आदित्यः</big></center>	<b>ādityaḥ</b><br><br>The sun; the solar deity.
vedanta:adṛṣṭa	<center><big>अदृष्ट</big></center>	<b>adṛṣṭa</b><br><br>Unseen (karmic results).
vedanta:advaita	<center><big>अद्वैत</big></center>	<b>advaita</b><br><br>Non-dual; without a second; without fear.
vedanta:advaya	<center><big>अद्वय</big></center>	<b>advaya</b><br><br>Not two; unique; undivided.
vedanta:advitīya	<center><big>अद्वितीय</big></center>	<b>advitīya</b><br><br>Without a second; matchless.
vedanta:ādya	<center><big>आद्य</big></center>	<b>ādya</b><br><br>First; primitive; being at the head; foremost; imme diately preceding.
vedanta:ādyanta	<center><big>आद्यन्त</big></center>	<b>ādyanta</b><br><br>Having beginning and end.
vedanta:āgamaḥ	<center><big>आगमः</big></center>	<b>āgamaḥ</b><br><br>Sacred text; śāstram , śrutiḥ ; coming; arrival.
vedanta:āgantuka	<center><big>आगन्तुक</big></center>	<b>āgantuka</b><br><br>Event, coming, arriving; incidental, accidental.
vedanta:agniḥ	<center><big>अग्निः</big></center>	<b>agniḥ</b><br><br>Fire; the deity of fire.
vedanta:agnihotram	<center><big>अग्निहोत्रम्</big></center>	<b>agnihotram</b><br><br>Maintaining and offering to the sacred fire; oblat ion to Agni ; both obligatory and optional ritual.
vedanta:agocara	<center><big>अगोचर</big></center>	<b>agocara</b><br><br>Not available for perception or inference; beyond t he power of words.
vedanta:agotra	<center><big>अगोत्र</big></center>	<b>agotra</b><br><br>Unconnected; without any lineage.
vedanta:agra	<center><big>अग्र</big></center>	<b>agra</b><br><br>First, foremost, best, pre-eminent; excessive, surp lus.
vedanta:āgrahaḥ	<center><big>आग्रहः</big></center>	<b>āgrahaḥ</b><br><br>Seizing, taking; strong attachment.
vedanta:agrahaṇam	<center><big>अग्रहणम्</big></center>	<b>agrahaṇam</b><br><br>Not grasping, non-comprehension.
vedanta:agrīya	<center><big>अग्रीय</big></center>	<b>agrīya</b><br><br>Foremost, best, excellent.
vedanta:ahaṃkāraḥ	<center><big>अहंकारः</big></center>	<b>ahaṃkāraḥ</b><br><br>Sense of self; self-image; ego.
vedanta:āhavanīyaḥ	<center><big>आहवनीयः</big></center>	<b>āhavanīyaḥ</b><br><br>One of the three fires burning at a sacrifice; a co nsecrated fire.
vedanta:ahiṃsā	<center><big>अहिंसा</big></center>	<b>ahiṃsā</b><br><br>Abstaining from killing or harming others in though t, word, or deed.
vedanta:āhutiḥ	<center><big>आहुतिः</big></center>	<b>āhutiḥ</b><br><br>Offering; oblation.
vedanta:aicchika	<center><big>ऐच्छिक</big></center>	<b>aicchika</b><br><br>Optional, voluntary.
vedanta:aihika	<center><big>ऐहिक</big></center>	<b>aihika</b><br><br>Of this world or place, secular, worldly.
vedanta:aikṣata	<center><big>ऐक्षत</big></center>	<b>aikṣata</b><br><br>It saw – from from root .
vedanta:aikyam	<center><big>ऐक्यम्</big></center>	<b>aikyam</b><br><br>Oneness; unity; identity.
vedanta:aiśvaryam	<center><big>ऐश्वर्यम्</big></center>	<b>aiśvaryam</b><br><br>Overlordship; power; wealth; one of six bhāgas .
vedanta:aitadātmyam	<center><big>ऐतदात्म्यम्</big></center>	<b>aitadātmyam</b><br><br>The state of having this property or peculiarity.
vedanta:ajaḥ	<center><big>अजः</big></center>	<b>ajaḥ</b><br><br>Unborn.
vedanta:ajahallakṣaṇā	<center><big>अजहल्लक्षणा</big></center>	<b>ajahallakṣaṇā</b><br><br>Implication where the primary or original sense of a word does not disappear.
vedanta:ajam	<center><big>अजम्</big></center>	<b>ajam</b><br><br>Not born, unborn.
vedanta:ajāti	<center><big>अजाति</big></center>	<b>ajāti</b><br><br>Eternal, not produced, not born.
vedanta:ajaya	<center><big>अजय</big></center>	<b>ajaya</b><br><br>Invincible, unconquerable.
