#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
Da_o	<center><big><big><big><big><big>डो</big></big></big></big></big></center>	<center><big><big><b>ḍo</b></big></big></center>
Da_au	<center><big><big><big><big><big>डौ</big></big></big></big></big></center>	<center><big><big><b>ḍau</b></big></big></center>
Da_aM	<center><big><big><big><big><big>डं</big></big></big></big></big></center>	<center><big><big><b>ḍaṁ</b></big></big></center>
Da_aH	<center><big><big><big><big><big>डः</big></big></big></big></big></center>	<center><big><big><b>ḍaḥ</b></big></big></center>
Dha_aa	<center><big><big><big><big><big>ढा</big></big></big></big></big></center>	<center><big><big><b>ḍhā</b></big></big></center>
Dha_i	<center><big><big><big><big><big>ढि</big></big></big></big></big></center>	<center><big><big><b>ḍhi</b></big></big></center>
Dha_ii	<center><big><big><big><big><big>ढी</big></big></big></big></big></center>	<center><big><big><b>ḍhī</b></big></big></center>
Dha_u	<center><big><big><big><big><big>ढु</big></big></big></big></big></center>	<center><big><big><b>ḍhu</b></big></big></center>
Dha_uu	<center><big><big><big><big><big>ढू</big></big></big></big></big></center>	<center><big><big><b>ḍhū</b></big></big></center>
Dha_RRi	<center><big><big><big><big><big>ढृ</big></big></big></big></big></center>	<center><big><big><b>ḍhṛ</b></big></big></center>
Dha_RRI	<center><big><big><big><big><big>ढॄ</big></big></big></big></big></center>	<center><big><big><b>ḍhṝ</b></big></big></center>
Dha_LLi	<center><big><big><big><big><big>ढॢ</big></big></big></big></big></center>	<center><big><big><b>ḍhḷ</b></big></big></center>
Dha_e	<center><big><big><big><big><big>ढे</big></big></big></big></big></center>	<center><big><big><b>ḍhe</b></big></big></center>
Dha_ai	<center><big><big><big><big><big>ढै</big></big></big></big></big></center>	<center><big><big><b>ḍhai</b></big></big></center>
Dha_o	<center><big><big><big><big><big>ढो</big></big></big></big></big></center>	<center><big><big><b>ḍho</b></big></big></center>
Dha_au	<center><big><big><big><big><big>ढौ</big></big></big></big></big></center>	<center><big><big><b>ḍhau</b></big></big></center>
Dha_aM	<center><big><big><big><big><big>ढं</big></big></big></big></big></center>	<center><big><big><b>ḍhaṁ</b></big></big></center>
Dha_aH	<center><big><big><big><big><big>ढः</big></big></big></big></big></center>	<center><big><big><b>ḍhaḥ</b></big></big></center>
Na_aa	<center><big><big><big><big><big>णा</big></big></big></big></big></center>	<center><big><big><b>ṇā</b></big></big></center>
Na_i	<center><big><big><big><big><big>णि</big></big></big></big></big></center>	<center><big><big><b>ṇi</b></big></big></center>
Na_ii	<center><big><big><big><big><big>णी</big></big></big></big></big></center>	<center><big><big><b>ṇī</b></big></big></center>
Na_u	<center><big><big><big><big><big>णु</big></big></big></big></big></center>	<center><big><big><b>ṇu</b></big></big></center>
Na_uu	<center><big><big><big><big><big>णू</big></big></big></big></big></center>	<center><big><big><b>ṇū</b></big></big></center>
Na_RRi	<center><big><big><big><big><big>णृ</big></big></big></big></big></center>	<center><big><big><b>ṇṛ</b></big></big></center>
Na_RRI	<center><big><big><big><big><big>णॄ</big></big></big></big></big></center>	<center><big><big><b>ṇṝ</b></big></big></center>
Na_LLi	<center><big><big><big><big><big>णॢ</big></big></big></big></big></center>	<center><big><big><b>ṇḷ</b></big></big></center>
Na_e	<center><big><big><big><big><big>णे</big></big></big></big></big></center>	<center><big><big><b>ṇe</b></big></big></center>
Na_ai	<center><big><big><big><big><big>णै</big></big></big></big></big></center>	<center><big><big><b>ṇai</b></big></big></center>
Na_o	<center><big><big><big><big><big>णो</big></big></big></big></big></center>	<center><big><big><b>ṇo</b></big></big></center>
Na_au	<center><big><big><big><big><big>णौ</big></big></big></big></big></center>	<center><big><big><b>ṇau</b></big></big></center>
Na_aM	<center><big><big><big><big><big>णं</big></big></big></big></big></center>	<center><big><big><b>ṇaṁ</b></big></big></center>
Na_aH	<center><big><big><big><big><big>णः</big></big></big></big></big></center>	<center><big><big><b>ṇaḥ</b></big></big></center>
ta_aa	<center><big><big><big><big><big>ता</big></big></big></big></big></center>	<center><big><big><b>tā</b></big></big></center>
ta_i	<center><big><big><big><big><big>ति</big></big></big></big></big></center>	<center><big><big><b>ti</b></big></big></center>
ta_ii	<center><big><big><big><big><big>ती</big></big></big></big></big></center>	<center><big><big><b>tī</b></big></big></center>
ta_u	<center><big><big><big><big><big>तु</big></big></big></big></big></center>	<center><big><big><b>tu</b></big></big></center>
ta_uu	<center><big><big><big><big><big>तू</big></big></big></big></big></center>	<center><big><big><b>tū</b></big></big></center>
ta_RRi	<center><big><big><big><big><big>तृ</big></big></big></big></big></center>	<center><big><big><b>tṛ</b></big></big></center>
ta_RRI	<center><big><big><big><big><big>तॄ</big></big></big></big></big></center>	<center><big><big><b>tṝ</b></big></big></center>
ta_LLi	<center><big><big><big><big><big>तॢ</big></big></big></big></big></center>	<center><big><big><b>tḷ</b></big></big></center>
ta_e	<center><big><big><big><big><big>ते</big></big></big></big></big></center>	<center><big><big><b>te</b></big></big></center>
ta_ai	<center><big><big><big><big><big>तै</big></big></big></big></big></center>	<center><big><big><b>tai</b></big></big></center>
ta_o	<center><big><big><big><big><big>तो</big></big></big></big></big></center>	<center><big><big><b>to</b></big></big></center>
ta_au	<center><big><big><big><big><big>तौ</big></big></big></big></big></center>	<center><big><big><b>tau</b></big></big></center>
ta_aM	<center><big><big><big><big><big>तं</big></big></big></big></big></center>	<center><big><big><b>taṁ</b></big></big></center>
ta_aH	<center><big><big><big><big><big>तः</big></big></big></big></big></center>	<center><big><big><b>taḥ</b></big></big></center>
tha_aa	<center><big><big><big><big><big>था</big></big></big></big></big></center>	<center><big><big><b>thā</b></big></big></center>
tha_i	<center><big><big><big><big><big>थि</big></big></big></big></big></center>	<center><big><big><b>thi</b></big></big></center>
tha_ii	<center><big><big><big><big><big>थी</big></big></big></big></big></center>	<center><big><big><b>thī</b></big></big></center>
tha_u	<center><big><big><big><big><big>थु</big></big></big></big></big></center>	<center><big><big><b>thu</b></big></big></center>
tha_uu	<center><big><big><big><big><big>थू</big></big></big></big></big></center>	<center><big><big><b>thū</b></big></big></center>
tha_RRi	<center><big><big><big><big><big>थृ</big></big></big></big></big></center>	<center><big><big><b>thṛ</b></big></big></center>
tha_RRI	<center><big><big><big><big><big>थॄ</big></big></big></big></big></center>	<center><big><big><b>thṝ</b></big></big></center>
tha_LLi	<center><big><big><big><big><big>थॢ</big></big></big></big></big></center>	<center><big><big><b>thḷ</b></big></big></center>
tha_e	<center><big><big><big><big><big>थे</big></big></big></big></big></center>	<center><big><big><b>the</b></big></big></center>
tha_ai	<center><big><big><big><big><big>थै</big></big></big></big></big></center>	<center><big><big><b>thai</b></big></big></center>
tha_o	<center><big><big><big><big><big>थो</big></big></big></big></big></center>	<center><big><big><b>tho</b></big></big></center>
