#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
a	<center><big><big><big><big><big>अ</big></big></big></big></big></center>	<center><big><big><b>a</b></big></big><br>[sound:a.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>Pronounced like:<br>f<b>a</b>r, b<b>a</b>r, st<b>a</b>r<br><br>Not like:<br>s<i>a</i>d, b<i>a</i>d, c<i>a</i>t, d<i>a</i>te<br><br><small>mouth should be open but not too much - not wide open.</small>
ṭa	<center><big><big><big><big><big>ट</big></big></big></big></big></center>	<center><big><big><b>ṭa</b></big></big><br>[sound:t2a.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Unvoiced</li><li>Retroflex (roof of mouth)</li></ul><hr><b>Pronunciation</b><br>This is a retroflex sound which is very similar to the dental "t" but it is Pronounced by the tongue curving upwards to touch the upper palate. There are no examples in English.
ṭha	<center><big><big><big><big><big>ठ</big></big></big></big></big></center>	<center><big><big><b>ṭha</b></big></big><br>[sound:t2ha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Unvoiced</li><li>Retroflex (roof of mouth)</li></ul><hr><b>Pronunciation</b><br>This is a retroflex sound which is very similar to the dental "th" but it is Pronounced by the tongue curving upwards to touch the upper palate. There are no examples in English.<br><br><br><br>
ḍa	<center><big><big><big><big><big>ड</big></big></big></big></big></center>	<center><big><big><b>ḍa</b></big></big><br>[sound:d2a.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Voiced</li><li>Retroflex (roof of mouth)</li></ul><hr><b>Pronunciation</b><br>This is a retroflex sound which is very similar to the dental "d" but it is Pronounced by the tongue curving upwards to touch the upper palate. There are no examples in English.
ḍha	<center><big><big><big><big><big>ढ</big></big></big></big></big></center>	<center><big><big><b>ḍha</b></big></big><br>[sound:d2ha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Voiced</li><li>Retroflex (roof of mouth)</li></ul><hr><b>Pronunciation</b><br>This is a retroflex sound which is very similar to the dental "dh" but it is Pronounced by the tongue curving upwards to touch the upper palate. There are no examples in English.
ṇa	<center><big><big><big><big><big>ण</big></big></big></big></big></center>	<center><big><big><b>ṇa</b></big></big><br>[sound:n3a.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Nasal</li><li>Unaspirated</li><li>Voiced</li><li>Retroflex (roof of mouth)</li></ul><hr><b>Pronunciation</b><br>This is a retroflex sound which is very similar to the dental "n" but it is Pronounced by the tongue curving upwards to touch the upper palate. There are no examples in English.
ta	<center><big><big><big><big><big>त</big></big></big></big></big></center>	<center><big><big><b>ta</b></big></big><br>[sound:ta.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Unvoiced</li><li>Dental (teeth)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "t" in:<br>tar, take, tape.
tha	<center><big><big><big><big><big>थ</big></big></big></big></big></center>	<center><big><big><b>tha</b></big></big><br>[sound:tha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Unvoiced</li><li>Dental (teeth)</li></ul><hr><b>Pronunciation</b><br>Pronounced like like the "t" in "take", but with extra expulssion of  air right after it - before the vowel.<br>Tips: try saying "what" and "house" one after the other with no gap. The last sound of "what" and the first sound of "house" will combine to the exact sound of "tha".
da	<center><big><big><big><big><big>द</big></big></big></big></big></center>	<center><big><big><b>da</b></big></big><br>[sound:da.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Voiced</li><li>Dental (teeth)</li></ul><hr><b>Pronunciation</b><br>Pronounced like like the "d" in:<br>dark, dog, deep
dha	<center><big><big><big><big><big>ध</big></big></big></big></big></center>	<center><big><big><b>dha</b></big></big><br>[sound:dha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Voiced</li><li>Dental (teeth)</li></ul><hr><b>Pronunciation</b><br>Pronounced like like the "d" in "dog", but with extra expulssion of  air right after it - before the vowel.<br>Tips: try saying "road" and "house" one after the other with no gap. The last sound of "road" and the first sound of "house" will combine to the exact sound of "dha".<br><br><br>
na	<center><big><big><big><big><big>न</big></big></big></big></big></center>	<center><big><big><b>na</b></big></big><br>[sound:na.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Nasal</li><li>Unaspirated</li><li>Voiced</li><li>Dental (teeth)</li></ul><hr><b>Pronunciation</b><br>Pronounced like like the "n" in:<br>in, intake, into.<br><br>Non like the "n" in:<br>incharge, incomplete.
